vid,labels
8TdeRhBNuHI,3 4 9 37 282
XUwm6ncU7Cg,3 4 6
ktllv58Ebb8,3 4 6
tFWi1t_LSUg,3 4 6
7aFdFUb0QB0,4
6CKVrmdLnq4,3 4 28 33 34
7MkyhL3SnHU,3 4 9 37 54
j2XfwkThO04,3 4 6
kSydFWGiK18,4 13 41 389
QZjX8fbvEj4,3 4 10 13 28 2187
9GouShqYqaM,3 4 6
VUoWy54skdg,4 9 37
nnQklNH04Wk,3 4
Xhm9R7pjnx4,4 9 10 37
exB3qFvkKU4,3 4 9 10
v_I4zfn5ENI,4 13 89
yyUSwEPmliA,4 6 10 13
I-ZsSewHmkc,3 4 6 13
qlI_b3-TKW0,3 4
C25KUd2CJ-A,3 4 6
PFKNi6QGgP8,4 9 10 37
ecEAbKQc7b0,3 4 9 10 13 351 550
EZaXkx7Fhdc,3 4 6
HRvsHmq14UU,4
idQFJFOYnGk,3 4
iI-gZLEaMSs,3 4 61 433
aPE_YRWZZKg,3 4 28 33 38 78
3TtHs6kAZZU,3 4
g2DCuVZcVQM,3 4 10
0Vca3saylZM,4 28 33 38 78
7dR02ebri9c,4 9 10 37 655 2427
uWT1RvLC0es,4 9 37 421
RmJ4o28y3yI,3 4 10 13 54 97 243 278 351
slOhhaAJNeg,4 31 47
d-_Dcj5MvMs,4 9 37 421
9nCLWEiDtjM,4 9 10 37 1065
kRQ_NqprfAw,3 4 13 54 585
ariuIfYRMYM,4 9 37
z9fkUnFlNho,3 4 10
kHgm3BhLhDk,3 4 10
5p4LKloT0cc,3 4 9
0uUkj5Fo7GA,4
MBHRQJr1bwY,3 4 28 33 38 2670
uXeVN3RsCYI,4 9 10 34
ix1uDpRvHPE,3 4 6 13
PTlkRTBoADo,4 9 10 34
VRmYb1FnXlc,4 9 10 37 655 1065
pum-EunCgmo,4 6
V5TTBrr4a1E,3 4 9 10 13 33 38 257
k3aBLhViR8M,4 9 10 34
ukt3Vi02GM4,3 4
YERQNNagWJs,3 4
NHjGjael9s0,3 4 13
Vc1_cVc-JQQ,3 4
ti8-QmyEj6M,3 4 9
mr9KE-N_iNg,4 31 40 47
6nRtcjZUuRM,3 4 13 54 168
g1ChzDqe-Ok,3 4 6 9 10 38
evDh9cydYFc,3 4 13 54 168 330
tlQR30tOtqM,3 4 6 31 97 243
6ynMbWOxue0,4 9 10 34 37
AD8Hxg-sj18,3 4 13 31 41 47 54
YQK58vPIH1A,3 4 10 13
ZtI4Lo4Y9SE,4 13 41
iquP6Q4YFvs,3 4 10 13
P43HYI-Um5w,4 9 10 34 37
CCehKMD7UB0,3 4
j-iC81ddjFk,3 4 13 41 54
jYI6p5RInAg,4 13
xpR0CkZIOGA,3 4 9 10 34 37 2144
HUS7i9pp16g,3 4 6
e6XDymaN5Ok,3 4 13 41 54
grcEu9s98qI,3 4 9 10 13 38
